"either_internet","how_long_ago_first_met","how_long_ago_first_romantic","how_long_relationship","married","relationship_quality","relationship_quality_num"
"Yes",7,7,7,"not married","good",3
"No",9,8,8,"married","good",3
"Yes",8,8,8,"not married","good",3
"No",12,12,12,"not married","good",3
"No",30,30,30,"married","good",3
"Yes",3,3,4,"not married","excellent",4
"No",29,27,27,"not married","excellent",4
"No",15,15,15,"not married","excellent",4
"No",16,14,14,"married","excellent",4
"Yes",14,14,14,"not married","excellent",4
"Yes",0,0,0.15,"not married","fair",2
"Yes",19,19,19,"not married","good",3
"Yes",2,2,2.5,"not married","good",3
"No",0,0,0.15,"not married","good",3
"No",13,11,11,"married","excellent",4
"Yes",4,4,4,"married","good",3
"No",43,43,43,"married","excellent",4
"No",13,0,0.45,"not married","excellent",4
"No",53,46,46,"married","excellent",4
"No",3,2,2.5,"not married","good",3
"Yes",0,0,0.45,"not married","good",3
"Yes",5,5,5,"not married","good",3
"No",12,12,12,"not married","excellent",4
"No",10,10,10,"not married","good",3
"No",3,3,4,"not married","excellent",4
"No",1,0,0.15,"not married","good",3
"No",2,1,0.75,"not married","good",3
"No",7,7,7,"married","excellent",4
"Yes",1,1,0.75,"not married","excellent",4
"Yes",1,1,0.75,"not married","good",3
"No",20,20,20,"married","good",3
"No",6,6,6,"married","good",3
"No",37,11,11,"not married","good",3
"No",39,29,29,"married","very poor",0
"No",29,29,29,"married","good",3
"No",5,5,5,"married","excellent",4
"No",17,16,16,"married","good",3
"Yes",27,26,26,"married","good",3
"No",30,30,30,"not married","excellent",4
"Yes",3,3,2.5,"not married","excellent",4
"No",26,26,26,"married","good",3
"No",23,23,23,"married","excellent",4
"No",10,10,10,"married","excellent",4
"No",19,19,19,"married","excellent",4
"No",35,35,35,"not married","excellent",4
"No",15,14,14,"married","good",3
"No",25,25,25,"married","fair",2
"No",0,0,0.45,"not married","excellent",4
"No",43,40,40,"married","excellent",4
"No",12,11,11,"married","good",3
"Yes",4,4,4,"not married","excellent",4
"Yes",3,3,4,"not married","excellent",4
"No",9,9,9,"not married","good",3
"Yes",20,19,19,"married","fair",2
"No",27,27,27,"married","excellent",4
"No",7,4,4,"not married","good",3
"No",30,30,30,"married","excellent",4
"No",5,5,5,"not married","good",3
"No",6,5,5,"married","excellent",4
"No",11,11,11,"not married","good",3
"Yes",7,7,7,"married","excellent",4
"Yes",16,14,14,"married","good",3
"Yes",8,8,8,"married","excellent",4
"No",20,20,20,"not married","good",3
"No",21,21,21,"married","excellent",4
"No",18,7,7,"not married","good",3
"No",26,24,24,"married","excellent",4
"No",6,6,6,"not married","fair",2
"No",7,6,6,"married","excellent",4
"Yes",3,3,2.5,"married","excellent",4
"No",1,1,2.5,"married","excellent",4
"No",39,38,38,"married","excellent",4
"No",36,36,36,"married","excellent",4
"Yes",2,2,2.5,"not married","excellent",4
"Yes",0,0,0.75,"not married","excellent",4
"No",18,18,18,"not married","excellent",4
"Yes",1,1,1.5,"not married","good",3
"No",0,0,2.5,"not married","excellent",4
"No",32,31,31,"married","excellent",4
"No",42,39,39,"married","excellent",4
"No",43,43,43,"not married","excellent",4
"No",17,17,17,"not married","excellent",4
"No",41,41,41,"married","excellent",4
"No",1,0,0.75,"not married","fair",2
"Yes",19,19,19,"not married","excellent",4
"No",8,8,8,"married","excellent",4
"No",10,10,10,"married","excellent",4
"No",74,59,59,"married","fair",2
"No",29,29,29,"married","good",3
"No",35,35,35,"married","excellent",4
"Yes",8,8,8,"not married","excellent",4
"No",11,11,11,"married","good",3
"Yes",8,8,8,"married","excellent",4
"No",52,51,51,"not married","excellent",4
"No",29,29,29,"married","good",3
"No",0,0,0.15,"not married","excellent",4
"No",10,10,10,"married","excellent",4
"No",6,5,5,"not married","excellent",4
"No",24,21,21,"married","excellent",4
"No",3,3,0.45,"married","good",3
"No",14,13,13,"married","excellent",4
"No",49,49,49,"married","good",3
"No",10,10,10,"not married","excellent",4
"Yes",2,2,2.5,"not married","excellent",4
"No",14,14,14,"not married","good",3
"No",22,22,22,"married","good",3
"No",17,17,17,"married","excellent",4
"No",14,14,14,"not married","excellent",4
"No",1,1,1.5,"not married","good",3
"No",11,11,11,"married","excellent",4
"No",23,22,22,"married","excellent",4
"No",2,2,1.5,"not married","excellent",4
"No",37,36,36,"married","good",3
"No",11,11,11,"married","good",3
"Yes",6,6,6,"not married","fair",2
"No",28,28,28,"married","good",3
"No",71,71,71,"married","excellent",4
"No",23,17,17,"not married","good",3
"No",7,7,7,"married","excellent",4
"No",36,36,36,"married","excellent",4
"Yes",2,2,2.5,"not married","fair",2
"No",40,39,39,"married","good",3
"No",20,20,20,"married","excellent",4
"No",37,35,35,"married","excellent",4
"Yes",14,13,13,"not married","fair",2
"No",40,40,40,"married","excellent",4
"Yes",1,0,0.75,"not married","good",3
"No",32,32,32,"married","excellent",4
"No",2,2,1.5,"not married","fair",2
"Yes",0,0,0.45,"not married","excellent",4
"No",12,12,12,"not married","excellent",4
"No",11,11,11,"married","excellent",4
"Yes",1,1,0.75,"not married","excellent",4
"No",7,5,5,"married","excellent",4
"No",22,22,22,"not married","good",3
"No",23,23,23,"married","good",3
"Yes",31,30,30,"not married","excellent",4
"No",5,5,5,"married","excellent",4
"No",15,15,15,"married","excellent",4
"No",17,16,16,"not married","good",3
"No",8,8,8,"married","good",3
"Yes",38,38,38,"married","excellent",4
"No",24,24,24,"married","excellent",4
"No",20,20,20,"married","excellent",4
"No",4,1,0.05,"not married","good",3
"Yes",6,6,6,"not married","excellent",4
"No",42,41,41,"married","excellent",4
"No",4,1,0.75,"not married","good",3
"No",23,23,23,"married","good",3
"No",45,45,45,"married","good",3
"No",24,21,21,"married","excellent",4
"No",22,22,22,"not married","good",3
"No",23,23,23,"married","good",3
"Yes",13,13,13,"married","excellent",4
"No",59,58,58,"married","excellent",4
"No",10,10,10,"not married","good",3
"No",5,5,5,"not married","excellent",4
"No",9,1,1.5,"not married","good",3
"Yes",20,20,20,"married","excellent",4
"No",65,65,65,"married","excellent",4
"Yes",4,4,4,"married","excellent",4
"No",15,15,15,"married","good",3
"No",23,22,22,"married","excellent",4
"No",21,21,21,"married","good",3
"No",15,14,14,"married","excellent",4
"No",21,20,20,"married","excellent",4
"No",13,13,13,"married","excellent",4
"No",0,0,0.05,"not married","good",3
"No",36,32,32,"not married","excellent",4
"No",25,14,14,"not married","good",3
"Yes",15,15,15,"married","fair",2
"No",31,31,31,"married","excellent",4
"No",24,24,24,"not married","excellent",4
"No",45,45,45,"not married","excellent",4
"No",16,16,16,"married","excellent",4
"No",0,0,0.75,"not married","good",3
"No",13,12,12,"married","fair",2
"No",43,43,43,"married","excellent",4
"No",3,3,4,"married","excellent",4
"No",2,2,1.5,"not married","good",3
"No",6,5,5,"married","excellent",4
"No",15,14,14,"not married","excellent",4
"Yes",5,1,2.5,"not married","excellent",4
"No",5,5,5,"married","excellent",4
"No",13,13,13,"not married","fair",2
"No",25,23,23,"married","excellent",4
"No",5,5,5,"not married","excellent",4
